NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=2022.671s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,udp,nw_src=192.168.5.106,nw_dst=172.217.29.110,tp_dst=443 actions=drop
 cookie=0x0, duration=2022.670s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,udp,nw_src=192.168.5.134,nw_dst=172.217.29.110,tp_dst=443 actions=drop
 cookie=0x0, duration=2022.670s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,udp,nw_src=192.168.5.162,nw_dst=172.217.29.110,tp_dst=443 actions=drop
 cookie=0x0, duration=2022.669s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,udp,nw_src=192.168.5.190,nw_dst=172.217.29.110,tp_dst=443 actions=drop
 cookie=0x0, duration=2022.669s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,udp,nw_src=192.168.5.124,nw_dst=130.149.17.8,tp_dst=123 actions=drop
 cookie=0x0, duration=2022.668s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,udp,nw_src=192.168.5.152,nw_dst=130.149.17.8,tp_dst=123 actions=drop
 cookie=0x0, duration=2022.667s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,udp,nw_src=192.168.5.180,nw_dst=130.149.17.8,tp_dst=123 actions=drop
 cookie=0x0, duration=2022.667s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,udp,nw_src=192.168.5.208,nw_dst=130.149.17.8,tp_dst=123 actions=drop
 cookie=0x0, duration=2022.666s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.100,nw_dst=93.184.216.34,tp_dst=80 actions=drop
 cookie=0x0, duration=2022.666s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.128,nw_dst=93.184.216.34,tp_dst=80 actions=drop
 cookie=0x0, duration=2022.665s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.156,nw_dst=93.184.216.34,tp_dst=80 actions=drop
 cookie=0x0, duration=2022.664s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.184,nw_dst=93.184.216.34,tp_dst=80 actions=drop
 cookie=0x0, duration=2022.664s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.113,nw_dst=35.174.82.237,tp_dst=11095 actions=drop
 cookie=0x0, duration=2022.663s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.141,nw_dst=35.174.82.237,tp_dst=11095 actions=drop
 cookie=0x0, duration=2022.663s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.169,nw_dst=35.174.82.237,tp_dst=11095 actions=drop
 cookie=0x0, duration=2022.662s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.197,nw_dst=35.174.82.237,tp_dst=11095 actions=drop
 cookie=0x0, duration=2022.662s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.122,nw_dst=34.240.169.254,tp_dst=443 actions=drop
 cookie=0x0, duration=2022.662s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.150,nw_dst=34.240.169.254,tp_dst=443 actions=drop
 cookie=0x0, duration=2022.661s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.178,nw_dst=34.240.169.254,tp_dst=443 actions=drop
 cookie=0x0, duration=2022.661s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.206,nw_dst=34.240.169.254,tp_dst=443 actions=drop
 cookie=0x0, duration=2022.661s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.100,nw_dst=176.32.98.203,tp_dst=80 actions=drop
 cookie=0x0, duration=2022.660s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.128,nw_dst=176.32.98.203,tp_dst=80 actions=drop
 cookie=0x0, duration=2022.660s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.156,nw_dst=176.32.98.203,tp_dst=80 actions=drop
 cookie=0x0, duration=2022.659s, table=0, n_packets=0, n_bytes=0, idle_age=2022, priority=200,tcp,nw_src=192.168.5.184,nw_dst=176.32.98.203,tp_dst=80 actions=drop
 cookie=0x0, duration=2022.659s, table=0, n_packets=12, n_bytes=648, idle_age=1247, priority=200,tcp,nw_src=192.168.5.103,nw_dst=192.168.5.100,tp_dst=23 actions=drop
 cookie=0x0, duration=2022.659s, table=0, n_packets=1, n_bytes=54, idle_age=131, priority=200,tcp,nw_src=192.168.5.106,nw_dst=192.168.5.100,tp_dst=23 actions=drop
